Stock,Timeframe,EMA Pair,Cross Time,Cross Close,EMA21 @ Cross,EMA50 @ Cross,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Cross,EMA20 @ Cross,EMA10 @ Touch,EMA20 @ Touch,SL Price,SL Hit,SL Hit Time,Max High Before SL,Max Upside %,Trade Duration
HDFCBANK,1d,EMA10/EMA20,2024-03-13 00:00:00,730.2,,,2024-03-15 00:00:00,725.0,729.65,721.12,726.33,,,Between Slow & Fast EMA,2,720.6,719.68,722.7,721.0,721.12,Yes,2024-03-18 00:00:00,728.0,0.23,1d
HDFCBANK,1d,EMA10/EMA20,2024-03-13 00:00:00,730.2,,,2024-03-19 00:00:00,717.75,726.2,717.75,724.67,,,At/Below Slow EMA,4,720.6,719.68,723.11,721.53,717.75,Yes,2024-03-20 00:00:00,725.83,0.16,1d
HDFCBANK,1d,EMA10/EMA20,2024-03-13 00:00:00,730.2,,,2024-03-21 00:00:00,721.3,725.62,719.15,722.88,,,At/Below Slow EMA,6,720.6,719.68,721.94,721.14,719.15,Yes,2024-03-22 00:00:00,725.38,0.35,1d
HDFCBANK,1d,EMA10/EMA20,2024-03-28 00:00:00,723.95,,,2024-04-19 00:00:00,743.27,767.48,740.12,765.65,,,At/Below Slow EMA,13,720.89,720.7,755.62,748.03,740.12,Yes,2024-05-09 00:00:00,778.7,1.7,13d
HDFCBANK,1d,EMA10/EMA20,2024-03-28 00:00:00,723.95,,,2024-04-29 00:00:00,757.5,767.23,753.27,764.75,,,Between Slow & Fast EMA,19,720.89,720.7,757.05,752.17,753.27,Yes,2024-05-07 00:00:00,770.3,0.73,5d
HDFCBANK,1d,EMA10/EMA20,2024-03-28 00:00:00,723.95,,,2024-05-06 00:00:00,761.0,767.25,758.58,761.33,,,Between Slow & Fast EMA,23,720.89,720.7,759.64,755.34,758.58,Yes,2024-05-07 00:00:00,762.02,0.09,1d
HDFCBANK,1d,EMA10/EMA20,2024-05-27 00:00:00,763.85,,,2024-05-30 00:00:00,749.6,761.8,748.83,757.42,,,Between Slow & Fast EMA,3,743.73,742.61,750.39,746.78,748.83,Yes,2024-06-04 00:00:00,799.5,5.56,3d
HDFCBANK,1d,EMA10/EMA20,2024-05-27 00:00:00,763.85,,,2024-06-05 00:00:00,747.02,779.8,741.17,775.9,,,At/Below Slow EMA,7,743.73,742.61,759.59,753.51,741.17,Yes,2026-03-23 00:00:00,1020.5,31.52,447d
HDFCBANK,1d,EMA10/EMA20,2024-08-26 00:00:00,819.98,,,2024-09-03 00:00:00,817.0,819.98,812.3,818.67,,,At/Below Slow EMA,6,815.31,814.86,816.93,816.16,812.3,Yes,2024-10-07 00:00:00,894.0,9.2,23d
HDFCBANK,1d,EMA10/EMA20,2024-08-26 00:00:00,819.98,,,2024-09-04 00:00:00,819.5,822.4,816.0,820.9,,,At/Below Slow EMA,7,815.31,814.86,817.65,816.61,816.0,Yes,2024-09-09 00:00:00,824.95,0.49,3d
HDFCBANK,1d,EMA10/EMA20,2024-08-26 00:00:00,819.98,,,2024-09-09 00:00:00,819.0,824.25,815.05,823.25,,,At/Below Slow EMA,10,815.31,814.86,819.41,817.88,815.05,Yes,2024-10-07 00:00:00,894.0,8.59,19d
HDFCBANK,1d,EMA10/EMA20,2024-10-21 00:00:00,864.35,,,2024-10-29 00:00:00,863.08,882.0,862.55,875.92,,,Between Slow & Fast EMA,6,844.14,843.17,862.56,855.2,862.55,Yes,2024-10-30 00:00:00,877.38,0.17,1d
HDFCBANK,1d,EMA10/EMA20,2024-10-21 00:00:00,864.35,,,2024-10-31 00:00:00,864.0,869.45,859.7,867.85,,,Between Slow & Fast EMA,8,844.14,843.17,864.23,857.45,859.7,Yes,2024-11-04 00:00:00,872.5,0.54,2d
HDFCBANK,1d,EMA10/EMA20,2024-10-21 00:00:00,864.35,,,2024-11-01 00:00:00,866.5,872.05,863.05,868.65,,,Between Slow & Fast EMA,9,844.14,843.17,865.03,858.51,863.05,Yes,2024-11-04 00:00:00,872.5,0.44,1d
HDFCBANK,1d,EMA10/EMA20,2024-10-21 00:00:00,864.35,,,2024-11-05 00:00:00,851.5,881.35,848.95,878.92,,,At/Below Slow EMA,11,844.14,843.17,866.37,860.33,848.95,Yes,2024-11-13 00:00:00,891.4,1.42,6d
HDFCBANK,1d,EMA10/EMA20,2024-10-21 00:00:00,864.35,,,2024-11-07 00:00:00,872.15,880.48,869.0,873.27,,,Between Slow & Fast EMA,13,844.14,843.17,869.3,863.05,869.0,Yes,2024-11-12 00:00:00,891.4,2.08,3d
HDFCBANK,1d,EMA10/EMA20,2024-11-19 00:00:00,871.12,,,2024-11-22 00:00:00,871.77,877.15,864.77,872.8,,,Between Slow & Fast EMA,2,862.02,861.69,865.26,863.51,864.77,Yes,2025-01-06 00:00:00,940.0,7.7,30d
HDFCBANK,1d,EMA10/EMA20,2024-11-19 00:00:00,871.12,,,2024-12-02 00:00:00,901.75,904.08,887.5,902.35,,,Between Slow & Fast EMA,8,862.02,861.69,888.84,879.33,887.5,Yes,2024-12-20 00:00:00,940.0,4.17,14d
HDFCBANK,1d,EMA10/EMA20,2024-11-19 00:00:00,871.12,,,2024-12-13 00:00:00,931.25,937.5,914.62,935.88,,,Between Slow & Fast EMA,17,862.02,861.69,924.65,909.98,914.62,Yes,2024-12-17 00:00:00,934.98,-0.1,2d
HDFCBANK,1d,EMA10/EMA20,2025-02-05 00:00:00,868.9,,,2025-02-17 00:00:00,842.6,860.0,840.62,858.67,,,At/Below Slow EMA,8,847.12,845.97,853.27,851.34,840.62,Yes,2025-02-21 00:00:00,868.95,1.2,4d
HDFCBANK,1d,EMA10/EMA20,2025-02-05 00:00:00,868.9,,,2025-02-18 00:00:00,856.52,865.77,853.08,861.52,,,Between Slow & Fast EMA,9,847.12,845.97,854.77,852.31,853.08,Yes,2025-02-20 00:00:00,868.95,0.86,2d
HDFCBANK,1d,EMA10/EMA20,2025-02-05 00:00:00,868.9,,,2025-02-19 00:00:00,858.5,868.95,856.23,863.6,,,Between Slow & Fast EMA,10,847.12,845.97,856.37,853.38,856.23,Yes,2025-02-20 00:00:00,857.35,-0.72,1d
HDFCBANK,1d,EMA10/EMA20,2025-02-28 00:00:00,866.2,,,2025-03-04 00:00:00,849.0,857.15,846.62,855.0,,,At/Below Slow EMA,2,851.96,851.32,852.34,851.62,846.62,Yes,2025-03-05 00:00:00,855.4,0.05,1d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-04-02 00:00:00,885.35,899.6,885.35,898.45,,,Between Slow & Fast EMA,11,850.53,850.26,892.95,881.11,885.35,Yes,2025-04-07 00:00:00,920.98,2.51,3d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-04-03 00:00:00,890.55,902.0,888.5,897.42,,,Between Slow & Fast EMA,12,850.53,850.26,893.76,882.66,888.5,Yes,2025-04-07 00:00:00,920.98,2.62,2d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-04-11 00:00:00,887.38,909.7,887.38,903.38,,,Between Slow & Fast EMA,17,850.53,850.26,892.45,886.16,887.38,Yes,2026-02-27 00:00:00,1020.5,12.96,220d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-05-12 00:00:00,958.8,979.95,956.15,978.6,,,Between Slow & Fast EMA,35,850.53,850.26,962.01,949.84,956.15,Yes,2025-05-14 00:00:00,980.85,0.23,2d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-05-15 00:00:00,956.75,972.4,948.5,966.9,,,At/Below Slow EMA,38,850.53,850.26,961.81,952.83,948.5,Yes,2025-09-01 00:00:00,1018.85,5.37,75d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-05-23 00:00:00,960.05,968.5,957.25,966.8,,,At/Below Slow EMA,44,850.53,850.26,963.19,957.81,957.25,Yes,2025-05-29 00:00:00,974.95,0.84,4d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-05-26 00:00:00,967.5,974.95,963.45,970.1,,,Between Slow & Fast EMA,45,850.53,850.26,964.44,958.98,963.45,Yes,2025-05-27 00:00:00,974.0,0.4,1d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-05-30 00:00:00,965.95,974.4,962.7,972.45,,,Between Slow & Fast EMA,49,850.53,850.26,965.34,961.19,962.7,Yes,2025-06-02 00:00:00,968.0,-0.46,1d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-06-02 00:00:00,965.05,968.0,954.0,966.05,,,At/Below Slow EMA,50,850.53,850.26,965.47,961.65,954.0,Yes,2025-08-29 00:00:00,1018.85,5.47,62d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-06-04 00:00:00,960.5,971.65,960.45,970.6,,,At/Below Slow EMA,52,850.53,850.26,965.93,962.56,960.45,Yes,2025-06-13 00:00:00,998.15,2.84,7d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-06-06 00:00:00,972.0,998.15,971.35,989.35,,,Between Slow & Fast EMA,54,850.53,850.26,971.51,966.16,971.35,Yes,2025-06-12 00:00:00,997.5,0.82,4d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-06-20 00:00:00,965.8,984.95,965.8,982.35,,,At/Below Slow EMA,64,850.53,850.26,971.64,969.79,965.8,Yes,2025-08-28 00:00:00,1018.85,3.72,47d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-07-04 00:00:00,993.55,1001.75,990.0,994.65,,,Between Slow & Fast EMA,74,850.53,850.26,993.23,986.46,990.0,Yes,2025-07-08 00:00:00,1002.5,0.79,2d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-07-08 00:00:00,988.5,1002.5,988.5,1000.7,,,Between Slow & Fast EMA,76,850.53,850.26,994.66,988.44,988.5,Yes,2025-07-14 00:00:00,1008.5,0.78,4d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-07-15 00:00:00,986.5,1001.8,986.5,997.75,,,At/Below Slow EMA,81,850.53,850.26,996.14,991.98,986.5,Yes,2025-07-18 00:00:00,1011.35,1.36,3d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-07-21 00:00:00,989.1,1001.0,988.25,1000.25,,,At/Below Slow EMA,85,850.53,850.26,994.17,992.18,988.25,Yes,2025-08-05 00:00:00,1018.85,1.86,11d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,855.2,,,2025-07-28 00:00:00,1001.5,1010.7,1000.25,1004.25,,,Between Slow & Fast EMA,90,850.53,850.26,1001.34,997.5,1000.25,Yes,2025-07-29 00:00:00,1013.25,0.9,1d
